"","","p"
"1",0,0.0737392008304596
"2",724,0.128097623586655
"3",725,0.0713407620787621
"4",774,0.0713407620787621
"5",781,0.23261122405529
"6",830,0.0713407620787621
"7",835,0.103467017412186
"8",849,0.0227042529731989
"9",850,0.114357307553291
"10",877,0.0713407620787621
"11",883,0.0713407620787621
"12",905,0.0713407620787621
"13",920,0.0713407620787621
"14",941,0.225288778543472
"15",958,0.0713407620787621
"16",1067,0.0713407620787621
"17",1081,0.0713407620787621
"18",1083,0.0713407620787621
"19",1086,0.0713407620787621
"20",1105,0.0713407620787621
"21",1126,0.0713407620787621
"22",1181,0.0713407620787621
"23",1232,0.0713407620787621
"24",1234,0.0713407620787621
"25",1237,0.0713407620787621
"26",1250,0.0713407620787621
"27",1253,0.0713407620787621
"28",1281,0.0713407620787621
"29",1284,0.0713407620787621
"30",1292,0.0713407620787621
"31",1319,0.0713407620787621
"32",1395,0.288165152072906
"33",1642,0.0713407620787621
"34",1776,0.510697484016418
"35",1778,0.0713407620787621
"36",1787,0.0713407620787621
"37",1789,0.0713407620787621
"38",1790,0.0713407620787621
"39",1800,0.0595580227673054
"40",1808,0.475341409444809
"41",1826,0.0713407620787621
"42",1828,0.0713407620787621
"43",1841,0.582587599754333
"44",1845,0.0713407620787621
