"","variable","percent.contribution","permutation.importance"
"1","DEM_c_v0",1.9139,3.2301
"2","ce_radann_c_v0",2.4917,15.0654
"3","ce_radhp_c_v0",0.2668,2.9018
"4","ce_radlp_c_v0",21.9933,26.0961
"5","ct_frostdays_lt2deg_1_c_v0",1.656,10.7108
"6","ct_tempann_1_c_v0",3.318,0.0281
"7","ct_tempseas_1_c_v0",14.7272,1.6686
"8","cw_precipseas_c_v0",37.5301,5.5644
"9","dl_lat_grid_c_v0",2.8234,5.8912
"10","dl_strmdstge2_c_v0",0.991,1.9267
"11","dl_strmdstge4_c_v0",0.2028,2.2311
"12","dl_strmdstge6_c_v0",2.2846,17.5814
"13","gp_k_fillspl_c_v0",1.8028,0.7756
"14","lf_aspect_tr_c_v0",0.3094,0.5234
"15","lf_cti_c_v0",0.3218,0.0204
"16","lf_rough0100_c_v0",0.0639,0.4554
"17","lf_slope_deg_c_v0",0.3883,1.5946
"18","lf_tpi0120_c_v0",0.1044,0.2106
"19","sfc_aut_b_95_c_v0",0.5006,0.8738
"20","soil_c_v0",2.4812,0.5461
"21","vegitation_pct_b_c_v0",3.8289,2.1043
